,-3000,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,total
medalliononline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,97,39,28,0,279
warhawknews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,131,31,0,254
gmhslasso.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,153,243,221,159,64,2,851
staffordsmokesignal.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,87,18,20,56,0,0,255
rhsaroundthebend.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,24,89,91,60,4,0,340
deeprunsentinelonline.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,49,0,78
bethelbearfacts.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0,51
hhsmedia.com,0,0,0,0,0,0,0,0,0,0,0,219,271,202,155,195,211,240,264,369,222,16,2364
bhsbeat.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,127,77,37,0,277
hhspawprint.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,66,0,102
rchsprowler.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,144,64,53,0,298
h2news.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,1,0,93
bhsbeeline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,34,23,0,112
saxonscope.com,0,0,0,0,0,0,0,0,0,0,0,55,317,269,314,95,44,114,35,24,27,0,1294
thehighlandernews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,63,271,96,138,88,225,310,264,1,1456
midloscoop.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,353,465,491,307,0,1631
mhslionsroar.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,101,166,151,124,79,1,677
krhsnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,110,140,45,0,307
bdhs-theroar.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,93,0,152
ncsoakleaf.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,18,28,4,1,0,109
fhsview.com,0,0,0,0,0,0,0,0,0,0,0,0,0,33,87,89,85,98,83,48,25,1,549
theflucobeat.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,71,118,109,147,146,103,0,734
pfhstheroar.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,191,51,105,97,156,76,0,748
thewoodgroveoutlander.com,0,0,0,0,0,0,0,0,0,0,0,2,23,43,35,57,108,106,83,54,34,0,545
